input_distribution,method,precision,threads,n,n_obs,best,median,mean,std,q25,q75,q05,q95,serial_best,serial_median,speedup_best,speedup_median
ill_scaled,openmp,fp64,2.0,1919384,8,0.0008778949999999,0.0012637759999999999,0.001309517624999975,0.00035578282221039126,0.00109166775,0.001454151499999925,0.000922241049999935,0.0018283391999999996,0.001615039,0.00174147599999995,1.8396721703622687,1.3779942015040245
ill_scaled,openmp,fp64,2.0,3684032,8,0.0018379379999999,0.0019240555,0.002180647124999975,0.00044908488913197886,0.00187827675,0.0024332985,0.001839306149999935,0.002890895199999935,0.00338748,0.00352105499999995,1.8430871988065889,1.830017377357332
ill_scaled,openmp,fp64,2.0,7071068,8,0.0034672599999999,0.0041110344999999,0.00421934237499995,0.0006425654366521932,0.003680551249999925,0.004853132,0.003485997599999935,0.005010728,0.0062885119999999,0.00681410549999995,1.8136834272595885,1.6575160096564783
ill_scaled,openmp,fp64,2.0,13572088,8,0.0065373159999999,0.00715992949999995,0.0076828463749999375,0.0017112683192891758,0.006835529749999975,0.007532887499999975,0.0065692079999999,0.010411701599999898,0.012690191,0.0129385175,1.9411928381617463,1.8070733098698932
ill_scaled,openmp,fp64,2.0,26050038,8,0.013137133,0.0141613035,0.015059493999999988,0.00299146613897597,0.013361244750000001,0.01502900425,0.0131936447,0.019734491749999934,0.021340878,0.022183496499999948,1.6244699661638502,1.5664869056722037
ill_scaled,openmp,fp64,2.0,50000000,8,0.026026475,0.027679133999999897,0.027494489999999962,0.0007755418260530474,0.0271769345,0.027824876499999925,0.02636160875,0.0283897391,0.0433009649999999,0.044782950499999905,1.6637276081374792,1.6179317785014542
ill_scaled,openmp,fp64,4.0,1000000,8,0.000275854,0.00049735149999995,0.0016086121249999624,0.0019330684834989508,0.000321791499999975,0.0025456375,0.00027770514999996503,0.004685066899999934,0.000768372,0.0008610564999999,2.7854299738267345,1.7312836092783204
ill_scaled,openmp,fp64,4.0,1919384,8,0.000499679,0.0026021795,0.004942615124999988,0.005759655368087999,0.0005596655,0.007856068249999924,0.0005085914000000001,0.013780166649999996,0.001615039,0.00174147599999995,3.232153042253126,0.6692374603673381
ill_scaled,openmp,fp64,4.0,3684032,8,0.001002438,0.0012330840000000002,0.0027050431250000002,0.004035618746230599,0.0010764317500000001,0.0016311585000000001,0.00101462045,0.008865464549999993,0.00338748,0.00352105499999995,3.379241409443776,2.8554867308309486
ill_scaled,openmp,fp64,4.0,7071068,8,0.002463212,0.00435499399999995,0.004289786624999975,0.0016314206354280864,0.0028542804999999753,0.00518333,0.002513385899999965,0.0064998092499999995,0.0062885119999999,0.00681410549999995,2.5529722979588843,1.5646647274370593
ill_scaled,openmp,fp64,4.0,13572088,8,0.004304465,0.00625445749999995,0.006744246874999975,0.0022895229641482495,0.005273273999999975,0.00748203625,0.004405369299999965,0.01028610865,0.012690191,0.0129385175,2.9481459368353558,2.0686874121376797
ill_scaled,openmp,fp64,4.0,26050038,8,0.008188897,0.00912195599999995,0.009032526749999962,0.0005574775138506188,0.008788692749999924,0.009264608499999926,0.00823631885,0.00973688095,0.021340878,0.022183496499999948,2.6060747863845397,2.4318793578921087
ill_scaled,openmp,fp64,4.0,50000000,8,0.0170750279999999,0.0179537105,0.01793919512499994,0.00045767556211966413,0.017735328999999977,0.0182955004999999,0.017270712649999898,0.018443844949999903,0.0433009649999999,0.044782950499999905,2.535923513566136,2.4943562780518214
ill_scaled,openmp,fp64,8.0,1000000,8,0.0077337009999999,0.015344138,0.015706680374999976,0.005960590215717911,0.012726319499999975,0.018088535,0.0085306401499999,0.024139639499999997,0.000768372,0.0008610564999999,0.09935372469145237,0.05611631621143527
